content,score,at,content_bersih
Tidak ada rutenya ( tidak lengkap ) Sehingga penumpang/ pengguna layanan pusing carinya,1,2024-03-08 14:06:37,ada rute lengkap tumpang guna layan pusing cari
"Meskipun apps nya agak rada², tapi pelayanan di wirawiri oke bangetz 😍",5,2024-03-08 11:08:55,meski apps nya rada layan wirawiri oke bangetz
Baik,4,2024-03-08 03:51:11,baik
"App tidak ramah, semrawut bintang 1🙏",1,2024-03-05 12:08:44,app ramah semrawut bintang
"Tidak ada tracking bus nya dimana, hanya halte tempat pemberhentian",1,2024-03-01 17:41:40,ada tracking bus nya hanya halte tempat henti
"Lemot, gk bisa login tiba tiba",1,2024-02-29 18:25:40,lot gk login tiba tiba
GPS teman bus tidak ada. Saya harap dapat ditingkatkan,2,2024-02-25 07:47:12,gps teman bus ada harap tingkat
Pelayanan nya kurang baguss,1,2024-02-20 13:23:44,layan nya kurang baguss
Sangat membantu untuk backpacker yg khawatir ditipu calo.... Semoga bisa merata seluruh surabaya,5,2024-02-18 17:52:14,sangat bantu backpacker yg khawatir tipu calo moga rata seluruh surabaya
"Alhamdulillah selama ini setelah ada gobis, wira-wiri saya belum pernah mencoba,,, baru hari ini(hari minggu tgl 18 feb 2024) bener"" saya pingin menikmati berempat sama temen"" lansia,,,Masyaallah,,, bener"" nikmat banget, pelayanannya sangat bagus sekali, didalam mobil wira-wiri sangat nyaman, ber AC lagi,,jd sangat enak,turun lakasantri, pingin naik lagi ke joyo boyo, trus dilanjut lagi naik gobus ke JMP,,, wah ini bisa jd langganan kalo lagi pingin jln"" makasih untuk semuanya,,,👍👍👍",5,2024-02-18 12:30:05,alhamdulillah lama telah gob wirawiri belum pernah coba baru hari inihari minggu tgl feb bener pingin nikmat empat sama temen lansiamasyaallah bener nikmat banget layan sangat bagus sekali dalam mobil wirawiri sangat nyaman ber ac lagijd sangat enakturun lakasantri pingin naik joyo boyo trus lanjut naik gobus ke jmp wah bisa jd langgan kalo pingin jln makasih semua
"TIDAK MAU MENUNGGU BUS NYA, PADAHAL MAU NAIK",1,2024-02-18 07:54:59,mau tunggu bus nya padahal mau naik
"Tolong dibenerin untuk arah tow unesa, masa iya bus nya cuman 2 seng ngenteni sampe blawuken bus e ga budal2",1,2024-02-17 16:38:26,dibenerin arah tow unesa masa iya bus nya cuman seng ngenteni sampe blawuken bus e ga budal
Murah meriah,5,2024-02-10 10:00:23,murah riah
"Overall udah bagus sihhhh buat aplikasinya. Fitur fiturnya juga udah lengkap semuanya. Makasih buat developernya, joss. Mungkin terdapat hal yang perlu ditingkatkan lagi sama developernya. Yakni pada kurangnya tingkat keakuratan lokasi dimana user berdiri. Bayangkan saja apabila si user ini merupakan pendatang, yang tidak tahu mengenai lokasi di Surabaya. Mungkin si user bisa tersesat maupun salah relasional transum",5,2024-02-09 18:42:53,overall udah bagus sihhhh buat aplikasi fitur fiturnya udah lengkap semua makasih buat developer joss mungkin dapat perlu tingkat sama developer pada kurang tingkat akurat lokasi user diri bayang apabila si user rupa datang yang tidak tahu kena lokasi surabaya mungkin si user sesat maupun salah rasional transum
Ok naik surabaya bus dan feeder... Nyaman aman..,5,2024-02-09 14:03:19,naik surabaya bus feeder nyaman aman
Istimewa sekarang..... Ke depan semoga lebih lengkap jurusannya... Lebih nyaman kendarannya.... Aamiin.,5,2024-02-08 11:35:38,istimewa sekarang depan moga lebih lengkap jurus lebih nyaman kendarannya aamiin
Kenapa ya Teman bus tidak ada gpsnya,4,2024-02-03 08:45:09,ya teman bus ada gpsnya
Seharusnya di aplikasinya ada top up untuk bayar lebi simpel dari satu aplikasi,5,2024-01-30 11:08:59,di aplikasi top up bayar lebi simpel satu aplikasi
Ini dengan bagus,5,2024-01-27 11:53:32,dengan bagus
Sangat membantu,5,2024-01-24 14:02:48,sangat bantu
Kenapa g bisa login ke profil? Mau lihat poin sisa berapa g bisa mohon bantuannya,1,2024-01-23 14:14:24,g login profil mau lihat poin sisa berapa g mohon bantu
"Aplikasi sdh OKE, tapi sayang saya kumpulin botol susah, sdh terkumpul untuk 10 tiket. Ternyata ada masa expirednya hanya 7 hari saja. Huuuft capek",3,2024-01-23 11:35:11,aplikasi sdh oke sayang kumpulin botol susah sdh kumpul tiket nyata masa expirednya hari huuuft capek
Good,5,2024-01-23 09:51:50,good
"Nggak rekomen. Habis instal, di hp jadi keluar iklan terus tiap 5 menit. Udah coba uninstall, restart, bahkan sampe di pengaturan iklan hp tetep keluar iklan Sanggat mengganggu. Lagi telfon lagi vc tiba-tiba keluar iklaan",1,2024-01-22 13:55:58,rekomen habis instal hp jadi keluar iklan terus tiap menit udah coba uninstall restart bahkan sampe atur iklan hp tetep keluar iklan sanggat ganggu telfon vc tibatiba keluar iklaan
Memudahkan untuk naik kendaraan umum,5,2024-01-17 10:25:31,mudah naik kendara umum
"Banyak lag nya, posisi Feeder nya ga keliatan p",1,2024-01-13 15:33:12,banyak lag nya posisi feeder nya ga liat p
Kenapa baru diupdate malah hilang gambar bis atau wira wirinya...jd kesulitan ini mantau drmn sampainya mohon diperbaiki lgi aplikasinya,4,2024-01-10 15:58:20,baru diupdate malah hilang gambar bis wira wirinyajd sulit mantau drmn sampai mohon baik lgi aplikasi
Kurang detail karna GPS bus nya sekarang nda ada.harusnya tetap diadakan biar kita tahu jamnya kurang lebih nyampe halte jam brapa,3,2024-01-10 08:44:56,kurang detail karna gps bus nya sekarang nda adaharusnya tetap ada biar tahu jam kurang lebih nyampe halte jam brapa
Sangat membantu transportasi,5,2024-01-09 17:08:40,sangat bantu transportasi
"W,gCV yang di CCwa GCC",4,2024-01-09 13:47:48,wgcv di ccwa gcc
Bagus sangat membantu bagi pengguna yang disabilitas dalam menggunakan transportasi yang nyaman. Terimakasih kepada pemerintah semoga amanah,5,2024-01-08 05:32:46,bagus sangat bantu guna disabilitas guna transportasi nyaman terimakasih perintah moga amanah
Mantap.,5,2024-01-06 15:14:30,mantap
Aplikasi tidak bisa tracking teman bus,1,2024-01-03 21:18:36,aplikasi bisa tracking teman bus
aplikasinya simpel tapi kurang informatif seperti ada lokasi tujuan wisata tidak dicantumkan harus naik bus rute mana dan turun di halte mana. jadi agak bingung kalo mau ke lokasi tujuan.,4,2023-12-25 08:52:48,aplikasi simpel kurang informatif ada lokasi tuju wisata cantum naik bus rute mana turun halte mana jadi bingung kalo mau lokasi tuju
"hari ini naik feeder wira wiri nunggu berangkatnya lama banget di terminal.padahal uda penuh,tapi harus nunggu 30mnt buat berangkat.katanya belum waktunya berangkat.",2,2023-12-18 00:13:49,hari naik feeder wira wiri nunggu berangkat lama banget terminalpadahal uda penuhtapi nunggu mnt buat berangkatkatanya waktu berangkat
"Cara lapor sopir nakal gimana ya????? Saya ingin lapor salah satu sopir & kernet yang selalu saja kalau penumpang cuma 1 saja yg tunggu di halte dilewatin begitu aja, padahal sudah berdiri di hampir di tengah jalan lohhh & sudah melambaikan tangan kurang kelihatan apa coba????? Tolong ya kasih tahu saya cara lapor, saya beberapa kali mengalami kejadian yg sama, pd hal kita bayar, gk pernah ngomelin sopir jg kalau ngebutnya ngawurrrr, khusus tgl 13 des 2023 pukul 18.00 bis surabaya dgn kode SB 24",1,2023-12-13 18:06:38,cara lapor sopir nakal gimana lapor salah satu sopir kernet selalu kalau tumpang cuma yg tunggu halte dilewatin aja padahal diri hampir tengah jalan lohhh lambai tangan kurang lihat apa coba ya kasih tahu cara lapor saya beberapa kali alami jadi yg sama pd kita bayar gk pernah ngomelin sopir jg kalau ngebut ngawurrrr khusus tgl des pukul bis surabaya dgn kode sb
Ngotak lah kalo pindah halte Mojokerto beritahu mana harus naik ojek lagi dancok aplikasi kntl,2,2023-12-13 16:51:41,ngotak lah kalo pindah halte mojokerto beritahu mana naik ojek dancok aplikasi kntl
Poin penukaran botol saya kenapa tiba2 hilang? Saya harus bagaimana?,1,2023-12-12 21:13:34,poin tukar botol kenapa tiba hilang harus bagaimana
Kerennnnnnn....dan udh mulai beroperasi yg listrik...mgk d aplikasi bs d buat ivon yg neda antara yg listrik sm yg merah....trm ksh....smg kedepannya bs trs meningjatkan pelayanannya.,5,2023-12-11 19:23:44,kerennnnnnndan udh mulai operasi yg listrikmgk d aplikasi bs d buat ivon yg neda yg listrik sm yg merahtrm kshsmg depan bs trs meningjatkan layan
"UI/UX aplikasi tidak user friendly. Pas saya install dan mau cek posisi halte kenapa mapnya kosongan? Isinya bener bener hanya nama jalan, posisi bus dan halte. Kan saya jadi bingung..",2,2023-12-09 20:34:48,uiux aplikasi user friendly pas install mau cek posisi halte map kosong isi bener bener nama jalan posisi bus halte kan jadi bingung
Naik wira wiri apa tiap jam ada mobilnya.,5,2023-12-05 07:56:47,naik wira wiri apa tiap jam mobil
Good,5,2023-12-03 18:39:03,good
"Giliran bisa diunduh, eh gak bisa dibuka 😥",1,2023-12-02 05:09:06,gilir unduh eh gak buka
Olllolllllllllyy,5,2023-12-01 14:08:37,olllolllllllllyy
Fd 3 klo menunggu lama di atas jam setengah 7 malam,1,2023-11-30 19:42:32,fd klo tunggu lama atas jam tengah malam
Sekarang sudah bagus banget aplikasinya. Good job,5,2023-11-30 11:56:26,sekarang bagus banget aplikasi good job
Gobis pokoknya sempurna....,5,2023-11-29 18:55:28,gob pokok sempurna
kadang ada yg suka nge time katanya kecepeten.. nunggu waktu yg pas... eh pas jalan ngebut nguber waktu... dan ww03 agak ugal,1,2023-11-29 17:01:02,kadang yg suka nge time kata kecepeten nunggu waktu yg pas eh pas jalan ngebut nguber waktu ww ugal
Mantab,5,2023-11-29 12:37:49,mantab
Murah dan nyaman,4,2023-11-27 22:17:46,murah nyaman
Aman Nyaman Bersih Berkualitas,5,2023-11-27 19:54:59,aman nyaman bersih kualitas
"Bagus, cepat",5,2023-11-27 07:17:08,bagus cepat
Maaf aku sudah di lewati 3 feader saat di halte,1,2023-11-22 16:57:17,maaf aku di lewat feader di halte
Sangat menyenangkan kita bisa bersama dalam menjalankan kegiatan dengan berkelompok,5,2023-11-21 19:43:51,sangat senang bisa sama jalan giat kelompok
Mantap,5,2023-11-19 19:05:16,mantap
Lagi nyari rute benowo ke galaxy mall,5,2023-11-17 20:11:36,nyari rute benowo galaxy mall
Transportasinya aman dan nyaman banget deh. Selain dapat mengurangi polusi juga pas banget buat kalian yg ingin kemana2 tanpa harus capek berkendara. Ayo gunakan transportasi publik dan pastikan jangan lupa sing penting full senyum smuanya🤗,5,2023-11-16 19:11:54,transportasi aman nyaman banget deh dapat kurang polusi pas banget buat kalian yg mana harus capek kendara ayo guna transportasi publik pasti jangan lupa sing penting full senyum smuanya
Tolong di tambah lagi halte nya di daerah Kedung Klinter 1 dong masa mau naik jurusan Tunjungan - Benowo harus ke halte Kedungdoro atau Embong Malang dulu,3,2023-11-14 17:16:31,tambah halte nya di daerah kedung klinter dong masa mau naik jurus tunjung benowo ke halte kedungdoro embong malang dulu
Suka banget buat monitor perjalanan bus udah sampai mana.,5,2023-11-12 18:45:54,suka banget buat monitor jalan bus udah mana
"Peta gk akurat, saya d mana peta di apanya d mana, lumayan jauh loh 2km , aslinya kasih fitur langsung misal saya dr medayu ke untag, nah sistem langsung memberikan kita pakai apa dan transit di mana, dan estimasi kita jalan, transit, biaya itu berapa",1,2023-11-10 18:29:07,peta gk akurat d mana peta apa d mana lumayan jauh loh km asli kasih fitur langsung misal dr medayu untag nah sistem langsung beri pakai apa transit mana estimasi jalan transit biaya berapa
"Aplikasinya sering ngebug. Tbtb ga muncul bis sm sekali di hp saya cmn muncul jalur sm halte aja, tp hp lain muncul lengkap tuh.",4,2023-11-07 18:04:25,aplikasi sering ngebug tbtb ga muncul bis sm sekali hp cmn muncul jalur sm halte aja tp hp muncul lengkap tuh
Mohon ditambah pemberhentian di MASJID AGUNG AL AKBAR SURABAYA,4,2023-11-07 09:12:18,mohon tambah henti masjid agung al akbar surabaya
"Best layanan transportasi i have ever seen. Para karyawan ramah poll, jan mencerminkan wong jowo seng ramah tamah. Matur suwun sby bus & gobis, Kediri (rumah) ke Sby (kantor) full angkot sampe depan pintu. Terbaik",5,2023-11-05 09:10:48,best layan transportasi i have ever seen karyawan ramah poll jan cermin wong jowo seng ramah tamah matur suwun sby bus gob diri rumah sby kantor full angkot sampe depan pintu baik
"Kemarin pas mau pulang dari unesa ke wilangun, ditarif sama kernet perempuan suruh bayar 5000😤, padahal sudah aku kasih KTMS gak mau, maunya bentuk fisik, Padahal biasanya enggak. Ya tak maklumin juga sih soalnya baru naik ke 2x nya. Tapi pas itu aku bareng temen perempuan yang sering pulang katanya baru kali ini harus bentuk fisik😠.",2,2023-11-05 08:05:45,kemarin pas mau pulang unesa wilangun tarif sama kernet perempuan suruh bayar padahal aku kasih ktms gak mau mau bentuk fisik padahal biasa enggak tak maklumin sih soal baru naik x nya pas aku bareng temen perempuan sering pulang kata baru kali harus bentuk fisik
Aplikasi tidak dapat dibuka ini kenapa ya,2,2023-11-04 08:45:11,aplikasi dapat buka kenapa
Super,5,2023-11-01 12:41:25,super
"Gobis sangat cepat memberikan layanan informasi mengenai bus Suroboyo, Wira Wiri dll. Top pokok e",5,2023-10-30 08:46:01,gob sangat cepat beri layan informasi kena bus suroboyo wira wiri top pokok e
Sangat baik dan sangat membantu dalam merencanakan perjslan,5,2023-10-30 05:34:26,sangat baik sangat bantu rencana perjslan
Sangat terbantu dgn adanya go bis,5,2023-10-28 10:04:05,sangat bantu dgn ada go bis
Nyaman dan petugas sangat ramah,5,2023-10-28 08:46:35,nyaman tugas sangat ramah
Setelah diupdate versi baru kenapa Aplikasi GOBIS tidak bisa dibuka.,3,2023-10-26 09:20:53,diupdate versi baru aplikasi gob bisa buka
Bagus,5,2023-10-24 20:19:07,bagus
Alhamdulillah sangat memudahkan bagi para mahasiswa ketika pulang pergi kuliah,5,2023-10-22 19:15:10,alhamdulillah sangat mudah para mahasiswa pulang pergi kuliah
"Cukup membantu untuk mengetahui posisi bus, jadwal bus, dan okupansi bus.",4,2023-10-17 13:29:20,cukup bantu tahu posisi bus jadwal bus okupansi bus
"jujur ada senangnya ada kecewanya, tapi hari ini beneran kecewa berat siih, menunggu bis dari jam set6 pagi sampai jam set7 lewat padahal Bus ada di terminal. Padahal transposinya bagus. Mohon untuk Dishub diperbaiki lagi Terimakasih.",2,2023-10-13 06:33:51,jujur senang kecewa hari beneran kecewa berat siih tunggu bis jam set pagi jam set lewat padahal bus di terminal padahal transposinya bagus mohon dishub baik terimakasih
Tolong kalo bisa hire tim UI/UX jujur tampilannya jelek sekali. Seperti dibikin sekenanya. Bisa studi banding sama apps Jaklingo.,2,2023-10-04 18:20:06,kalo hire tim uiux jujur tampil jelek sekali bikin kena studi banding sama apps jaklingo
aplikasi kelar diupdate sering log out sendiri. balikin ke type lama sebelum update bisa apa ngga ya. maklum dipakai anak2 utk ke sekolah.,5,2023-10-02 23:25:57,aplikasi kelar diupdate sering log out sendiri balikin type lama update apa ngga maklum pakai anak utk sekolah
Aplikasi apa seh ini. Ga guna Wira wiri ga Isa diklik. Jadwal ga ada. Kudu ke google. Di google juga jadwalnya jadwal palsu. Bus ya gitu ga guna. Cuma Isa liat letaknya doang. Jadwal ga ada. Fungsinya ada aplikasi ini itu apa. mau kemana ajah ga ada ancernya. Cuma ngeliat lokasi doang. Sama ajah palsu. Salah ga ada notif di halte ini kapan Dateng. Wira wiri selanjutnya bisa dinaikin apa nggak. Aku nungguin sejam di halte bus. Ini malah Wira wiri ya ga lewat lagi. Minimal ada tulisan ga trima lg,1,2023-09-28 18:21:42,aplikasi apa seh ga wira wiri ga isa klik jadwal ga kudu google google jadwal jadwal palsu bus gitu ga cuma isa liat letak doang jadwal ga fungsi aplikasi itu apa mau ajah ga ancernya cuma ngeliat lokasi doang sama ajah palsu salah ga notif halte kapan dateng wira wiri lanjut dinaikin apa aku nungguin jam halte bus malah wira wiri ga lewat minimal tulis ga trima lg
Perbaikin dong gl bisa daftar member nihhh nge stak di foto terus nge bug,2,2023-09-25 11:53:26,perbaikin dong gl daftar member nihhh nge stak foto terus nge bug
"saranku sih, mungkin aplikasinya dikasih fitur kalau mau kemana kasih rute bis apa saja, soalnya jujur , bingung gimana caranya",4,2023-09-21 10:01:27,saran sih mungkin aplikasi kasih fitur kalau mau kasih rute bis apa soal jujur bingung gimana cara
Trimakasih Surabaya bis sayakerja kerja gak pernah terlambat dgn adanya surarabaya bus.makasih Suroboyo bis👃,5,2023-09-18 09:55:10,trimakasih surabaya bis sayakerja kerja gak pernah lambat dgn ada surarabaya busmakasih suroboyo bis
"Semoga selalu ditingkatkan aplikasinya, dan segera launching di AppStore",5,2023-09-16 01:19:47,moga selalu tingkat aplikasi segera launching appstore
"Alhamdulillah, merasa dimudahkan, nyaman, aman ketika mobilitas di surabaya",5,2023-09-15 14:26:53,alhamdulillah rasa mudah nyaman aman mobilitas surabaya
"Ada yg kurang, untuk kapasitas yang tertera pada unit kadang tidak sesuai. Terutama pada Wira wiri Mohon di perbaiki 🙏🙏 terimakasih",4,2023-09-13 07:06:23,yg kurang kapasitas tera unit kadang sesuai utama wira wiri mohon baik terimakasih
Haltenya terlalu jauh pak @dishubsurabaya,5,2023-09-10 19:36:45,halte terlalu jauh pak dishubsurabaya
"WW05 tidak ramah dalam berhenti distop mereka bilangnya berhenti dibawah halte padahal 2 feeder sebelumnya kelihatan dan bilang mohon maaf penuh, tapi feeder ww05 malah memarah marahi kami dan kami sudah berdiri 30 menit kepanasan. Apakah soprinya tidak kelihatan, mohon untuk SDM di didik agar ramah.",1,2023-09-10 11:36:42,ww ramah henti stop bilang henti bawah halte padahal feeder belum lihat bilang mohon maaf penuh feeder ww malah marah marah dan sudah diri menit panas soprinya lihat mohon sdm didik ramah
bagus,5,2023-09-01 17:58:52,bagus
"Sudah bagus, alangkah baiknya jika dalam aplikasi ditambahkan fitur informasi untuk pengguna yang akan menuju ke suatu lokasi tujuan harus naik transportasi umum apa saja. Jadi pengguna tinggal memasukkan titik awal dan lokasi tujuan sebagaimana yang ada di google maps, kemudian akan menampilkan rute bus/wirawiri apa saja yang melewati tujuan tersebut. Jadi pengguna tidak akan kebingungan untuk transit dan berpindah transportasi umum lain.",4,2023-08-30 13:47:32,bagus alangkah baik dalam aplikasi tambah fitur informasi guna tuju suatu lokasi tuju naik transportasi umum apa jadi guna tinggal masuk titik awal lokasi tuju bagaimana ada google maps kemudian akan tampil rute buswirawiri apa yang lewat tuju sebut jadi guna akan bingung transit pindah transportasi umum
"Aplikasi super, tapi sepertinya perlu update rute",5,2023-08-29 08:48:39,aplikasi super seperti perlu update rute
Mau download Wira Wiri gmn,5,2023-08-25 11:03:58,mau download wira wiri gmn
"Pg td anak saya berangkat sekolah dr terminal Bratang dg wira wiri FD07 minta diturunkan di genteng Krn sekolah di daerah sana, ktnya g ada, trus dinaikkan Wira Wiri lg dan diturunkan di Pandegiling 😥. Padahal mg kmrn ktk naik dr Bratang dg tujuan yg sama nyampe sekolah. Bingung dia. Knp berbeda rutenya?",3,2023-08-23 10:24:21,pg td anak berangkat sekolah dr terminal bratang dg wira wiri fd minta turun genteng krn sekolah daerah sana ktnya g trus naik wira wiri lg turun pandegiling padahal mg kmrn ktk naik dr bratang dg tuju yg sama nyampe sekolah bingung knp beda rute
"Saya sangat terbantu dengan adanya suroboyo bus ini, transportasi yang aman dan nyaman untuk berangkat / pulang kerja. Terima kasih suroboyo bus !",5,2023-08-22 17:06:54,sangat bantu ada suroboyo bus transportasi aman nyaman berangkat pulang kerja terima kasih suroboyo bus
Brguna bgt bagi pengguna transum di Sby,5,2023-08-22 13:38:35,brguna bgt guna transum sby
Yang saya suka di aplikasi ini adalah wirawiri dan trans jatim gabung jadi satu di aplikasi ini. Jadi saya gak perlu repot buat ngecek di aplikasinya trans jatim. Karena update 1.0.5.9 saya jadi gampang untuk melihat jadwal terbaru Suroboyo Bus/WiraWiri/Trans Jatim.,5,2023-08-20 17:29:32,suka aplikasi adalah wirawiri trans jatim gabung jadi satu aplikasi jadi gak perlu repot buat ngecek aplikasi trans jatim update saya jadi gampang lihat jadwal baru suroboyo buswirawiritrans jatim
"Mohon tambahkan armada Wirawiri rute Mayjend balai kota,karena saya menunggu agak lama",5,2023-08-12 17:41:47,mohon tambah armada wirawiri rute mayjend balai kotakarena tunggu lama
Bagus,5,2023-08-07 16:37:20,bagus
Lpl.,5,2023-08-03 16:07:20,lpl
Mantaap,5,2023-07-31 12:23:21,mantaap
"Bagus, tapi kenapa suroboyo bus koridor gununganyar - kenpark, unesa - laguna tidak bisa di tracking, jadi kita tidak bisa pantau update posisinya.",4,2023-07-31 10:11:20,bagus kenapa suroboyo bus koridor gununganyar kenpark unesa laguna tracking jadi tidak bisa pantau update posisi
Mau bertanya kenapa rute dari Kenjeran ke Wonokromo tidak ada di list ya?,3,2023-07-28 09:25:32,mau tanya rute kenjeran wonokromo ada list
"Sangat membantu sih,, tapi jalur ke kenjeran - gunung anyar kok gk da diaplikasi?? Tpi pernah liat bus arah situ?? Apa beda aplikasi bwt liat jalur bis itu?!",3,2023-07-26 06:42:42,sangat bantu sih jalur kenjeran gunung anyar kok gk da aplikasi tpi pernah liat bus arah situ apa beda aplikasi bwt liat jalur bis
"Jadwal keberangkatan bis kacau, contoh 26 Juli naik SB12 jadwal 6.10 dari bungur terlambat 6.16 baru berangkat, membuat perjalanan kerja terlambat datang ke kantor. Tapi kadang maju 6.05 sudah berangkat, jadi kita ikut bis selanjutnya 6.20. Kondisi bus nyaman, paling kerusakan pada hidrolik pintu susah tutup, jumlah kursi sedikit, tombol stop rusak, AC kalau siang panas",3,2023-07-26 06:17:44,jadwal berangkat bis kacau contoh juli naik sb jadwal bungur lambat baru berangkat buat jalan kerja lambat datang kantor kadang maju berangkat jadi ikut bis lanjut kondisi bus nyaman paling rusa hidrolik pintu susah tutup jumlah kursi sedikit tombol stop rusak ac kalau siang panas
Sangat berguna buat warga surabaya,5,2023-07-22 17:22:32,sangat guna buat warga surabaya
bagus dan bermanfaat,5,2023-07-20 06:43:25,bagus manfaat
G isa d buka d Vivo V5Lite,1,2023-07-18 22:07:08,g isa d buka d vivo vlite
"Tidak Update , Rute Unesa - ITS tidak muncul",1,2023-07-17 06:14:56,update rute unesa its muncul
"Semoga aplikasinya nanti dilengkapi dengan info halte terdekat dan pilihan tujuan.. jadi bisa sama atau lebih mudah penggunaannya dari apk ojol yaa.. Jujur saya masih kesulitan dgn apk ini, sayang kan klo bus2 yg bagus2 itu tdk dimanfaatkan optimal.. semoga sarannya bisa diterimaa 😊",2,2023-07-16 10:44:08,moga aplikasi lengkap info halte dekat pilih tuju jadi sama lebih mudah guna apk ojol yaa jujur masih sulit dgn apk sayang kan klo bus yg bagus tdk manfaat optimal moga saran diterimaa
"Alhamdulilah atas kepedu Cak Erik selaku Walikota Surabaya terhadap masyarakat Surabaya menyediakan angkutan umum dengan biaya terjangkau,kami sudah sering naik wirawiri dari Benowo ke Tunjungan ke Bungurasih, dan yang perlu saya informasikan ke Cak Erik untuk pemberhentian menurunkan/menaikan penumpang : Jaraknya terlalu jauh dan tidak ada tempat duduk,atap, kare na kalo musim hujan penum pang menunggu angkot wira wira kepanasan dan kehujan an.",5,2023-07-16 06:17:11,alhamdulilah atas kepedu cak erik selaku walikota surabaya masyarakat surabaya sedia angkut umum biaya terjangkaukami sering naik wirawiri benowo tunjung bungurasih yang perlu informasi cak erik henti menurunkanmenaikan tumpang jarak terlalu jauh tidak tempat dudukatap kare na kalo musim hujan tum pang tunggu angkot wira wira panas hujan an
Wes bener bener rute TIJ - TOW malah diganti UNESA - TOW Longor poll Poleh ga enak numpak wira wiri sumpek,1,2023-07-14 18:13:47,wes bener bener rute tij tow malah ganti unesa tow longor poll poleh ga enak numpak wira wiri sumpek
"I'M REALLY TO LOVE ""SUROBOYO BUS"", Because THE BEST",5,2023-07-12 20:47:30,im really to love suroboyo bus because the best
Siplah,3,2023-07-12 16:49:16,sip
Siip,5,2023-07-11 16:29:49,siip
Baik,5,2023-07-11 07:24:58,baik
Update nya di percepat tentang penambahan rute tow Unesa,3,2023-07-10 16:52:43,update nya cepat tambah rute tow unesa
aplikasinye Bagus sangat membantu ane yg dri Luar Surabaya ( Ane dari Jakarta ) dan baru pertama kali ke Surabaya & Saya salut drivernya semua juga ramah2 dan membantu memberihkan arahan jalan,5,2023-07-10 09:15:20,aplikasinye bagus sangat bantu ane yg dri luar surabaya ane jakarta baru pertama kali surabaya salut drivernya semua ramah bantu memberihkan arah jalan
Memuaskan dan Sangat membantu,5,2023-07-10 06:02:52,muas sangat bantu
Top scorer,5,2023-07-10 04:41:32,top scorer
Kook ii,2,2023-07-05 12:15:38,kook ii
"Nyaman, pegawenya ramah",5,2023-07-04 12:29:18,nyaman pegawenya ramah
Sangat membantu top surabaya,5,2023-07-03 12:20:03,sangat bantu top surabaya
"aplikasi ga jelas, manfaatnya dimana?",1,2023-07-02 13:32:52,aplikasi ga jelas manfaat
Bisa melihat dri mna bis tayo suroboyo,5,2023-06-30 18:38:17,lihat dri mna bis tayo suroboyo
"Tampilan aplikasinya mohon diperbaiki,,biar lebih fresh dan mudah buat penggunanya",2,2023-06-20 22:40:30,tampil aplikasi mohon diperbaikibiar lebih fresh mudah buat guna
"Aplikasi angkutan umum terbaik, sangat membantu dalam memenuhi kebutuhan warga Surabaya dan sekitarnya.",5,2023-06-20 12:54:58,aplikasi angkut umum baik sangat bantu penuh butuh warga surabaya sekitar
"Jadwal tidak sesuai, bus tidak berhenti di halte langsung lewat begitu saja",1,2023-06-18 18:57:31,jadwal sesuai bus henti halte langsung lewat saja
Top,5,2023-06-12 07:19:49,top
"Bagus sih, tapi ya sering dapet supirnya galak, kapan hari naik bus dapet supir rada galak, ngomongnya ngegas. Harusnya yg gak tau di kasih tau dengan baik, bukannya malah ngegas!! Mohon ditindak lagi lah",3,2023-06-08 21:07:11,bagus sih ya sering dapet supirnya galak kapan hari naik bus dapet supir rada galak ngomongnya ngegas harus yg gak tau kasih tau baik bukan malah ngegas mohon tindak lah
"AC kurang dingin mengingat bnyk penumpang, mohon di perhatikan ntk kenyamanan para penumpang",3,2023-06-07 10:25:37,ac kurang dingin ingat bnyk tumpang mohon perhati ntk nyaman tumpang
Bagus,5,2023-06-05 11:37:54,bagus
Untuk Rute wira wiri rute terlalu dekat jadi kalau mau ke kecamatan lain harus oper dan jalan agak jauh untuk ke rute selanjutnya,4,2023-06-01 09:45:54,rute wira wiri rute terlalu dekat jadi kalau mau camat harus oper jalan jauh ke rute lanjut
Sekarang gak ada rute merr,1,2023-05-29 09:53:33,sekarang gak rute merr
knp d hp saya setelah terinstal kok g bisa d buka aplikasinya,1,2023-05-29 04:24:04,knp d hp telah terinstal kok g d buka aplikasi
"Tidak bs ditracking suroboyo bus nya..loading terus min..mungkin bs 
diperbaiki ya",5,2023-05-28 13:58:36,bs ditracking suroboyo bus nyaloading terus minmungkin bs baik
Tidak seperti awal peluncuran. Sekarang AC Bus tidak dingin dan berasa sauna. Dan usul jam layanan diperpanjang sampe jam 22.00 malam. Dikarenakan pekerja dipusat perbelanjaan baru tutup jam 22.00 malam. Kemudian diapp antarmuka ditambahi menu jadwal keberangkatan,1,2023-05-27 09:07:25,seperti awal luncur sekarang ac bus dingin asa sauna usul jam layan panjang sampe jam malam karena kerja pusat belanja baru tutup jam malam kemudian diapp antarmuka tambah menu jadwal berangkat
tolong pengumuman yang muncul terus menerus dilayar menerus sangat membosankan,3,2023-05-26 08:55:44,umum muncul terus terus layar terus sangat bosan
